遗传代数,参数,R平方
0,"{'max_depth': 9, 'learning_rate': 0.07690548953216392, 'subsample': 0.8229750709319195, 'colsample_bytree': 0.9841580090897601}",0.989876847
1,"{'max_depth': 8, 'learning_rate': 0.2319810412743146, 'subsample': 0.5183150598734861, 'colsample_bytree': 0.6167226082692854}",0.990895919
2,"{'max_depth': 3, 'learning_rate': 0.2319810412743146, 'subsample': 0.986484365331646, 'colsample_bytree': 0.9764272480447322}",0.989876847
3,"{'max_depth': 6, 'learning_rate': 0.18984014186998546, 'subsample': 0.793310472785673, 'colsample_bytree': 0.7769348636509982}",0.990895919
4,"{'max_depth': 6, 'learning_rate': 0.2458209812299366, 'subsample': 0.1992741969067297, 'colsample_bytree': 0.9054469987280189}",0.990958279
5,"{'max_depth': 4, 'learning_rate': 0.2319810412743146, 'subsample': 0.5183150598734861, 'colsample_bytree': 0.6167226082692854}",0.990958279
6,"{'max_depth': 10, 'learning_rate': 0.2349012632487005, 'subsample': 0.986484365331646, 'colsample_bytree': 0.5492477604657142}",0.991030197
7,"{'max_depth': 6, 'learning_rate': 0.2349012632487005, 'subsample': 0.3486990010941345, 'colsample_bytree': 0.9764272480447322}",0.991130297
8,"{'max_depth': 4, 'learning_rate': 0.2458209812299366, 'subsample': 0.5563833036685838, 'colsample_bytree': 0.7693481714854067}",0.991313385
9,"{'max_depth': 6, 'learning_rate': 0.2349012632487005, 'subsample': 0.5183150598734861, 'colsample_bytree': 0.7693481714854067}",0.990271822
10,"{'max_depth': 6, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.992397969
11,"{'max_depth': 6, 'learning_rate': 0.2349012632487005, 'subsample': 0.5183150598734861, 'colsample_bytree': 0.7693481714854067}",0.992397969
12,"{'max_depth': 4, 'learning_rate': 0.27884643576020285, 'subsample': 0.8789730990024238, 'colsample_bytree': 0.9764272480447322}",0.990895919
13,"{'max_depth': 6, 'learning_rate': 0.3692099334329444, 'subsample': 0.7046559576858268, 'colsample_bytree': 0.7693481714854067}",0.990895919
14,"{'max_depth': 6, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.990895919
15,"{'max_depth': 4, 'learning_rate': 0.3692099334329444, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991030197
16,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.990895919
17,"{'max_depth': 6, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.990895919
18,"{'max_depth': 6, 'learning_rate': 0.3692099334329444, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.990895919
19,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.7046559576858268, 'colsample_bytree': 0.9764272480447322}",0.990958279
20,"{'max_depth': 4, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.8098183674050806}",0.990958279
21,"{'max_depth': 6, 'learning_rate': 0.2319810412743146, 'subsample': 0.1992741969067297, 'colsample_bytree': 0.9764272480447322}",0.991030197
22,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991030197
23,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.7822936641985608}",0.991030197
24,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991554808
25,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991030197
26,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.992011386
27,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.990895919
28,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.990895919
29,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.990904752
30,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991793485
31,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991793485
32,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991814813
33,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991030197
34,"{'max_depth': 4, 'learning_rate': 0.283010928860438, 'subsample': 0.793310472785673, 'colsample_bytree': 0.2304742567464616}",0.991030197
35,"{'max_depth': 6, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991793485
36,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.00293462107444431, 'colsample_bytree': 0.9280171160911165}",0.991793485
37,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991814813
38,"{'max_depth': 3, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991030197
39,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991030197
40,"{'max_depth': 4, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991030197
41,"{'max_depth': 3, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991030197
42,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991554808
43,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.991030197
44,"{'max_depth': 3, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.8818331310226484}",0.992011386
45,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.992397969
46,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.993229946
47,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.992437659
48,"{'max_depth': 5, 'learning_rate': 0.2319810412743146, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.992397969
49,"{'max_depth': 5, 'learning_rate': 0.19028572738456295, 'subsample': 0.793310472785673, 'colsample_bytree': 0.9764272480447322}",0.992397969
